SN,NAME,Project name,Organisation
352,Hannes,"Utilizing Speech-to-Speech Translation to Facilitate a Multilingual Text, Audio, and Video Message Board and Database",Red Hen Lab
353,Arpan Parikh,Improve Metric Module,NumFOCUS
354,Arijit Kundu,Faces of GNOME,GNOME Foundation
355,Rishabh Vasudevan,"""Hey Rodney"" Wake Word Detection",JBoss Community
356,Shivanshu Tyagi,Speech recognition using OpenCV Audio IO module,OpenCV
357,He Yang,ReactOS implement iernonce.dll for RunOnceEx,ReactOS
358,Arkajyoti Bhattacharjee,Improvements to nls(),The R Project for Statistical Computing
359,Anant Thazhemadam,Tight-Binding Atomic Graph Networks - Orbital Graph Convolution Neural Network,The Julia Language
360,Manan Jethwani,New library catalogue UI for Kiwix-serve,Kiwix
361,Prajna,Bioinformatics with Jupyter Notebooks,Open Genome Informatics
362,Harsh Kumar,Adding new activities,KDE Community
363,SunTzunami_8_24,FURY: Ribbon and Molecular Surface Representations for Proteins,Python Software Foundation
364,Ziwei XU,Towards a neural extraction framework,DBpedia
365,Liangda Wang,Apache ShardingSphere - Proofread the Oracle DDL/TCL SQL Definitions,The Apache Software Foundation
366,Akshit Kushwaha,Tests for the VCL graphics backend,LibreOffice
367,visvesh subramanian,Redesigning Health's MainView,GNOME Foundation
368,Fredrik Wieczerkowski,Inlay type hints for SourceKit-LSP,Swift
369,Saubhik Mukherjee,LSB: Analysis & Fixing of Race Condition Warnings in the Linux Kernel,The Linux Foundation
370,Harshitha S,Formal Verification of OpenRISC’s Mor1kx processor using yosys,Free and Open Source Silicon Foundation
371,Liq Tao,Inlining: using locally optimal inlining decisions,The LLVM Compiler Infrastructure
372,Ayas Behera,Extending the features of the vulnerable code snippets and redesigning the score board,OWASP Foundation
373,Antonio Gomes,3D Barycentric Coordinates for Convex Polyhedra with Triangular Faces,CGAL Project
374,Vasudev Gupta,Implement and publish state-of-the-art ML models in TensorFlow 2 & deploy them on mobile devices using TensorFlow Lite,TensorFlow
375,Manish Kumar Shah,OpenWISP REST API,OpenWISP
376,felipe bivort haiek,GPU backend for QuTip,NumFOCUS
377,Soham Dixit,Distributed lit testing,The LLVM Compiler Infrastructure
378,Sai Rohitth Chiluka,Improving the User Experience of Zulip Terminal,Zulip
379,Ivan Molodetskikh,Shell: update screenshot and screen recorder,GNOME Foundation
380,Parth Pratim Chatterjee,Direct Code Execution Modernization,The ns-3 Network Simulator Project
381,Leonardo Cumplido,Python Argentina: <PyZombis project> Continue the implementation of the course in the Runestone environment,Python Software Foundation
382,Abdallah Elshamy,Jupyter Notebook Integration,GNU Octave
383,Leandro Doctors,Clojure CLI Build Tools in Debian,Debian
384,Otávio Oliveira,Visit the World,Liquid Galaxy project
385,Shu Richmond,Slagora API and Admin Dashboard,AOSSIE
386,Sachin Chauhan,Eventyay Open Event: Open Event Frontend Reimplementation,Digital Impact Alliance (DIAL) at UN Foundation
387,Pranav Rajpal,Improve support for singledispatch,mypy
388,Yashraj Desai,Discovery Search and Advanced Search features,Cuneiform Digital Library Initiative (CDLI)
389,Dharna Chandrakar,Prepare cyjShiny for R Package  Repository Submission,National Resource for Network Biology (NRNB)
390,Lisardo Pérez Lugones,Depicting of Graphical Communication Systems (GCS) in Aztec/Central Mexican manuscripts with Deep Learning: glyphic visual recognition and deciphering using Keras,Red Hen Lab
391,Osama Ahmad,On-canvas interactive boolean operations,Inkscape
392,Ashish  Malik,Casbin plugin for Kubernetes,Casbin
393,Aravind Murali,MSUI UI Redesign,Python Software Foundation
394,Pu (Luke) Yi,Analyzing Fault Injection in Java PathFinder and Symbolic PathFinder,Java PathFinder
395,RWMK,CodeLabz,SCoRe Lab
396,Prakhar Agarwal,Web App UI Cleanup,Purr Data
397,Asier Galicia,TensorFlow data backend for QuTiP,NumFOCUS
398,Chi Lung Cheng,Quple - Quantum GAN,Machine Learning for Science (ML4SCI) Umbrella Organization
399,João Seckler,Optimizing build and deploy in Kworkflow: towards the Beta release,The Linux Foundation
400,Aradhana Kund,DESIGN CHALLENGE,Cuneiform Digital Library Initiative (CDLI)
401,Chaitanya Kulkarni,Adding Adaptive Bayesian SLOPE (ABSLOPE) to the SLOPE Package,The R Project for Statistical Computing
402,Vedang Joshi,Trust anchor management for drg,JBoss Community
403,Mahmoud Khalil,Okular: Improve Custom/Image Stamp Annotation Handling,KDE Community
404,Mohammad Humayun Khan,Add WebAuthn Support to XWiki,XWiki
405,Pola Hano Shehat,Improving Image Lab Project UI/UX,SCoRe Lab
406,Shubhanshu Saxena,Async Support for TensorFlow Backend in FFmpeg,Intel Video and Audio for Linux
407,Vishal Chaudhary,Port power policies end-to-end tests,Chromium
408,Daniil Pakhomov,Efficient Realistic Image Manipulation,MediaPipe
409,Mykola Medynskyi,Implement support for ScalaPy in Scala 3,Scala Center
410,Ajinkya Raghuwanshi,DSP hard block integration in SymbiFlow,SymbiFlow
411,Ji Hun Hong,Korean Translations and Website Improvements,Processing Foundation
412,Mohamed Mokhtar,Red Hen Rapid Annotator,Red Hen Lab
413,Darshil Patel,Introducing Ephemeral Channels in Rocket.Chat,Rocket.Chat
414,zbrown,Shell: Implementing Layout Managers in Rust,GNOME Foundation
415,Rahat Muneeb,"Snooze, search and filter for the Chrome DevTools Issues Tab",Chromium
416,Yongrong Chen,SwiftPM support for Swift scripts,Swift
417,Tarun Nagdeve,Development of  a Visual Recognition model for Aztec Hieroglyphs,Red Hen Lab
418,Konstantinos Doumanidis,HA-Auto:  Node-RED Compatible DSL for Home Assistant,GFOSS - Open Technology Alliance
419,Puranjay Mohan,IIO Driver: ADXL355 Accelerometer,The Linux Foundation
420,Martin Kostelník,Single precision support for GPU acceleration in VecGeom,CERN-HSF
421,Yash Rajpal,App: Bad-Words Filter,Rocket.Chat
422,Kamush,Implementing new language pair: Kazakh - Uzbek,Apertium
423,Atreya Majumdar,Make Deepchem More Robust: Implement Cutting-Edge Models and Other Features,Open Chemistry
424,Yuki Osaki,Language Server for RBS,Ruby
425,Dinko Franceschi,Tree-based models,TensorFlow
426,Quinn Okabayashi,Interpersonal Identity Verification,openSUSE Project
427,Mirali Ahmadli,Improve Eigen’s Tensor Module and Integration with TensorFlow,TensorFlow
428,Ashutosh_Chauhan,Angular Migration,Oppia Foundation
429,Subham Raj,OPEN DATA KIT: Improve the suitcase application,Digital Impact Alliance (DIAL) at UN Foundation
430,Nkoa Christophe,Multi currency memberships,CiviCRM LLC
431,Georgiy Lebedev,LLVM JIT engine for Tarantool's DQL,Tarantool
432,Harshavardhan Unnibhavi,Development of a vhost-user-vsock application and its integration with kata contianers,QEMU
433,Paulina Martin,MCMC Chains imporvements,The Julia Language
434,Eduardo Quintana Miranda,Boost.Math: FFT Utilities,Boost C++ Libraries
435,Tomás Assenza,Android native app for network selection capability in LibreMesh routers,freifunk
436,Amirfarhad Nilizadeh,Using Lightweight Specifications with Fuzzing and Symbolic Execution to Reveal Security and Semantic Bugs,Java PathFinder
437,Ashwath V A,Chord Symbol Style Editor,MuseScore
438,Alan Barzilay,Expanding support for Kworkflow: bootloaders  and Linux distributions,The Linux Foundation
439,Kartik,LasoMax,gprMax
440,Harshal Anil Shende,RooFit Development - Intuitive Python bindings for RooFit,CERN-HSF
441,Adithya Sunil Edakkadan,Porting BaseJump STL to FuseSoC,Free and Open Source Silicon Foundation
442,Dhruv Jain,Introduce Video and Audio calls to LiveChat,Rocket.Chat
443,Anshudhar Kumar Singh,Improvement in Export Options,Inkscape
444,Francesco Bursi,A new render type: On-the-fly Raster Calculator for QGIS,OSGeo - Open Source Geospatial Foundation
445,Guillem Lopez Paradis,Parallelising Verilog RTL Simulations Using MPI,Free and Open Source Silicon Foundation
446,Marlin Roberts,Improved Integration of String Solvers in SPF,Java PathFinder
447,Adarsh Kumar,Plug and Play Language Models in Julia,The Julia Language
448,Siddhant Jain,Neural QA Model for DBPedia,DBpedia
449,Gopi Manohar Tatiraju,Replacing boost spirits,mlpack
450,Jiarui Wang,Expected Returns: FactorAnalytics,The R Project for Statistical Computing
451,Hari Prashant Bhimaraju,Enhancing the Zulip Terminal Experience,Zulip
452,Lycanthrope,GSOC 2021 CodeLabz Proposal,SCoRe Lab
453,Anant Bhasin,E2E Testing for Android in Rocket.Chat.ReactNative,Rocket.Chat
454,Amr Maghraby,Machine detection of film edits,Red Hen Lab
455,tastatham,Geopandas - Dask bridge to scale geospatial analysis,NumFOCUS
456,Rithik Sharma,Clang Static Analyzer performance profiling,The LLVM Compiler Infrastructure
457,Aayush Sabharwal,Model Serialization and Pathfinding  for Agents.jl,The Julia Language
458,Rahul Halder,Voice Channels,Rocket.Chat
459,Yorguin Mantilla Ramos,SOVABIDS: A python package for the automatic conversion of MEG/EEG datasets that makes the most out of metadata,INCF
460,Gautam Jajoo,Improvements in EvalAI frontend,CloudCV
461,ABHISHEK AGARWAL,Final Step Towards Deployment,AOSSIE
462,Tomas Capretto,Extend available models and default priors in Bambi,NumFOCUS
463,Mai Nguyen,Distribution Checks,MGGG Redistricting Lab
464,Kapil (devkapilbansal),OpenWRT package for OpenWISP Monitoring,OpenWISP
465,Ahmed Alwasifey,Improving Conflict Resolution Process,Joplin
466,Rajan Jaiswal,Improving rutorrent mobile interface,CCExtractor Development
467,Deep Majumder,Making Smart Pointer Checkers default checkers in the Static Analyzer,The LLVM Compiler Infrastructure
468,Gourishankar Panda,Improve Kiwix Android Library,Kiwix
469,Yash Srivastava,Interface for reporting search bugs for Nominatim,OpenStreetMap
470,Yash Jipkate,Port wiki to ReadTheDocs or another documentation platform,"Center for Research in Open Source Software, UC Santa Cruz"
471,Remco Kranenburg,Predictive Text Input for Virtual Reality,xrdesktop
472,Gavish Poddar,Implementing an optional language detection library to improve language detection.,Python Software Foundation
473,Ping Zhang,GSoC Proposal: Multi-Start Optimization Methods,NumFOCUS
474,Lakshya Singh,Socket Library,Chapel
475,Suhas G,Shifting VisualCircuit to a web server,JdeRobot - Universidad Rey Juan Carlos
476,Martynas Stankevičius,FFT assembly,FFmpeg
477,Akshat Tiwari,Musicbrainz Android App: Dawn of Showdown,MetaBrainz Foundation Inc
478,Liutong HAN,Optimizing OpenCV DNN for RISC-V Proposal,OpenCV
479,Ritiek Malhotra,Complete Rust binding for the MusicBrainz API,MetaBrainz Foundation Inc
480,Benjamin Doron,Minimum Platform Board Port - Acer Aspire VN7-572G,TianoCore
481,mschwennesen,NetworkX: Implementing the Asadpour Asymmetric Traveling Salesman Problem Algorithm,NumFOCUS
482,Aayush Joglekar,Sample Diagnostics App for ChromeOS,Chromium
483,Mragank Shekhar,"Speed-up, parallelize and distribute ArviZ",NumFOCUS
484,Siyuan Fan,A Software ISP Implementation with OpenCL,libcamera
485,Sankha Das,SBML4Humans - Interactive SBML Report for Humans,National Resource for Network Biology (NRNB)
486,Avinash,RetroShare WEBUI,freifunk
487,Adrian-Antonio Petre,Portability for the Patatrack Pixel Track Reconstruction with Alpaka,CERN-HSF
488,Frank Schäfer,Neural Hybrid Differential Equations and Adjoint Sensitivity Analysis,NumFOCUS
489,Adwait Bhope,Adding Support for Resampling Data with NDCube,openastronomy
490,Sparsh Agrawal,Static Analysis Checks + Improvements,Oppia Foundation
491,Omar Mohamed Abdel Samea,Making FOSSology architecture microservice friendly,FOSSology
492,Deepro Choudhury,Implementation of FHIRPath in a Java library,Google FHIR SDK
493,santhab,Implementing table styles DOCX support,LibreOffice
494,open-sorcerer,WebView Components UI,Chromium
495,Hongcheng Zhong,VVC Parser for Gstreamer,Intel Video and Audio for Linux
496,Sandagomi Pieris,CrawlerX - Distributed crawling system,SCoRe Lab
497,Ilias Kyranas,Sastix-CMS: A general purpose Java CMS in Spring Boot,GFOSS - Open Technology Alliance
498,Alana Xiang,Large Scale Protein Modeling in DeepChem,Open Chemistry
499,Alexis Ehret,Reworking Rizin's binary loading,Rizin
500,Marcos Lerones,Dhall bindings to TOML configuration language,Haskell.org
501,Akash Gupta,"Implement a ""Series"" entity",MetaBrainz Foundation Inc
502,Sahan Dilshan,Lifecycle Management of DBpedia Neural QA Models - Sahan Dilshan,DBpedia
503,Ankur Saini,Extending C++ support for static analysis pass,GNU Compiler Collection (GCC)
504,anubhav sharma,Android FHIR Client,Google FHIR SDK
505,Yeming Gu,Yeming Gu's GSoC proposal for CHAOSS,CHAOSS Project
506,Jimil Desai,Runtime plugin ecosystem support for OCIS,CERN-HSF
507,Aadi Bajpai,Beacon Backend,CCExtractor Development
508,Utkarsh Maheshwari,Increase support for time-series and regressions (Python),NumFOCUS
509,Captain Yoshi,Creation of a Benchmark Suite,MoveIt
510,Rashmi K A,Sorting Hat - Extend data model and user interface to capture better information about contributors,CHAOSS Project
511,Indraneel Ghosh,Simple Enrichment Tool for Analysis,National Resource for Network Biology (NRNB)
512,Binh-Minh Tran-Huu,Center of Satellite Signal in the Frequency Domain,AerospaceResearch.net
513,Linden Disney-Hogg,Rigorous integration and the Abel-Jacobi map,SageMath
514,Ramanujan,DNSTool Middleware/API,SCoRe Lab
515,D Ajay Kumar,enviroCar Platform Independent App,52°North GmbH
516,Mainak Deb,Upgrading DevoLearn,INCF
517,Eyvaz Ahmadzada,Media Manager,Joomla!
518,Okonkwo Ifeanyichukwu,Ideas for Google Summer of Code/Morphological analyser,Apertium
519,DhairyaJain,Add Robust Betas to Performance Analytics,The R Project for Statistical Computing
520,amanpro30,Login/Signup Implementation,OWASP Foundation
521,Srijan Paul,Closures in Pallene,LabLua
522,Nektarios Gkikakis Fifes,AsyncAPI Application simulation,Postman
523,vsquareg,High Performance Data Channel for Duet,OpenMined
524,Ioannis Papadopoulos,"""PackageInfo WebApp""",GFOSS - Open Technology Alliance
525,Sanjiban Sengupta,ROOT Storage of Deep Learning models in TMVA,CERN-HSF
526,Jeevi,DNSTool proposal,SCoRe Lab
527,Nithin Jaikar,DUMP SHARED MEMORY IN USER-MODE,CRIU
528,Olivian,Haskell in CodeMirror 6,Haskell.org
529,Siras Hakobyan,"TumorComparer, updated version",National Resource for Network Biology (NRNB)
530,Jakub Jelinek,Handling compiler arguments,Fortran-lang
531,Shivaditya Shivganesh,Neural network-based object detection of anatomical structures and medical artifacts in Virtual Reality,LibreHealth
532,Rishi Purwar,Contributing to Postman Public Workspace,Postman
533,Vishal Dalwadi,Support for Contextual Query Language,Polypheny
534,Amlan Kumar Nandy,Improve LabelLab Mobile Application,SCoRe Lab
535,Aditya Mitra,Out Of Office Settings with an Assigning Deputy - GSOC 2021 - Aditya Mitra,Rocket.Chat
536,Nuwan Jayawardene,Containerisation of Apache Synapse ESB,The Apache Software Foundation
537,Dongjia Zhang,Scheduler for LibAFL,AFLplusplus
538,Aidan Marshall,Deep learning homology inference,Genome Assembly and Annotation
539,Vadim Abzalov,[NetworkX] Pedagogical Interactive Notebooks for Algorithms Implemented in NetworkX,NumFOCUS
540,Emiljano Gjiriti,Coverage-guided mutation-based fuzzing for WebGPU,Android Graphics Tools Team
541,srkltg,DNSTool Web Application,SCoRe Lab
542,Vasily Ilin,Efficient Spatial Simulations in DiffEqJump,NumFOCUS
543,Preet Vadaliya,Custom Font Typeface Support,MIT App Inventor
544,yuqi (alyssa) chen,proposal for Enable Clang/LLVM Build for Microsoft Windows,TianoCore
545,YoungHwan Joo,Develop Performance Farm Benchmarks and Website,PostgreSQL
546,Aneesh Chawla,OpenForBC,CERN-HSF
547,Ferran Delgado Garcia,Crop Doc Terminal TPU,Liquid Galaxy project
548,pschreiber,Freifunk Digital Twin - test on your virtual mesh before going productive,freifunk
549,Sunit Roy,TensorFlow Lite examples for Natural Language Processing,TensorFlow
550,Ayush Singh,Calibrate SDR+,AerospaceResearch.net
551,Neel,Lambert W Distributions in Stan,NumFOCUS
552,Sarthak_Gupta,Sugarizer Measure activity,Sugar Labs
553,Ishan Kumar Kaler,General Midi Mad Dash,Purr Data
554,Vineet Jain,WARP-V Many-Core in the Cloud,Free and Open Source Silicon Foundation
555,Kinar Sharma,Functional Enhancements to Fineract CN Mobile,The Apache Software Foundation
556,Aditya Wagh,Maxima Demo and Documentation Tool.,INCF
557,Anubhav Sharma-1,Retraining models from ORES to be deployable on Lift Wing,Wikimedia Foundation
558,Pankaj Yadav,Local DB support for SBGN maps in Newt,National Resource for Network Biology (NRNB)
559,Evgeniia Karunus,SciUnit: integration with NetPyNE and other simulation environments,INCF
560,Ilia Ilmer,Parameter Identifiability with ModelingToolkit.jl,NumFOCUS
561,Shaik Ajmal R,Building a AI Based Web Application firewall,OWASP Foundation
562,David Davó,Fixing ihaskell-widgets,Haskell.org
563,Rahul Anand,3Scale - Envoy proxy authorization cache,JBoss Community
564,Abhay0O7,Implement DepClean Gradle plugin and support for multi-module analysis,CASTOR
565,Songlin Jiang,Customize IBus Extension,openSUSE Project
566,Aman V. Singh,SecureTea - Improvement in Features,OWASP Foundation
567,Anastasiia Sedova,Relation Extraction,DeepPavlov
568,geolas,"Pocket Paint for Android: Hide the top and bottom bars, and make the drawing surface full screen by default",International Catrobat Association
569,Farjad Ilyas,"""Migrating to Scoped Storage"" By Farjad Ilyas, 2021",AnkiDroid
570,Arpit Bhalla,"Migrating Hooks, Tests & APIs",React Native Elements
571,Xuanda Yang,Implement Escape Analysis in Julia Compiler,The Julia Language
572,Alexis Newton,Implement Small Groups,SageMath
573,Zeeshan Equbal,Improving Zulip’s terminal interface.,Zulip
574,Dhruv Vats,Integrating Multitaper Periodogram into Stingray,openastronomy
575,NIKITA MAHOVIYA,Develop GUI for ImageJ groovy script calling VCell API,National Resource for Network Biology (NRNB)
576,Rahul Saini,Frontend Inline editing,Joomla!
577,Duong Dac,Improve the OpenCV Python package with type annotations and type checking,OpenCV
578,Rishi R,Machine Learning for Macro Diffusion Indexes,The R Project for Statistical Computing
579,Prateek Pardeshi,Pidgin: Account Creation/Edit Assistant,Pidgin Instant Messenger
580,Xingyu Liu,Improve performance through the use of Pythran,Python Software Foundation
581,Rahul Babu Shrestha,"Implementing locality sensitive hashing to compare large scale, out of core machine learning datasets",Python Software Foundation
582,Rikito Taniguchi,Add synthetics and symbol information for semanticdb in Scala 3,Scala Center
583,Yulia Kuzovkova,Support for RFC 7670 (Generic Raw public key support),The Libreswan Project
584,Somil Jain,Design Challenge,Cuneiform Digital Library Initiative (CDLI)
585,José Manuel Díaz Urraco,DBpedia Spotlight Dashboard: an integrated statistical information tool from the Wikipedia dumps and the DBpedia Extraction Framework artifacts,DBpedia
586,Nishit Patel,Tracker-miners: File creation time,GNOME Foundation
587,Maija Utriainen,Implementing multiple clustering algorithms and dimensionality reduction techniques on clusterMaker2,National Resource for Network Biology (NRNB)
588,Devyansh Chawla,Develop a UserScript/Gadget tutorial on MediaWiki.org similar to Wikipedia:The_Wikipedia_Adventure,Wikimedia Foundation
589,Jose Giraldo,Sounds similar for me: Using open embeddings to improve sampling on orcAL Tool,Orcasound
590,Hashim,DFFML : Enhancing User Experience with Notebook Examples for Machine Learning Use Cases.,Python Software Foundation
591,Manan Sharma-1,Newman Dashboard,Postman
592,Jean Staquet,Channel's Calendar View,Rocket.Chat
593,Huu Long Nguyen,Particle Swarm Optimization for Hyperparameter Tuning in MLJ,The Julia Language
594,Nirmal Praveen Suthar,Generate a JSON Representation of the Specification from Structured Markdown,SPDX
595,Hrithik Kumar Verma,MISSION SUPPORT SYSTEM (MSS) : GENERATING A TOOL CHAIN TUTORIAL FOR THE MSUI USER INTERFACE BY AUTOMATION OPERATIONS,Python Software Foundation
596,Hari Krishna,Develop a web based monitoring dashboard to improve and monitor existing database backup inventory processes and improve long term maintainability of existing code,Wikimedia Foundation
597,CastilloDel,Pure Rust serverless htsget implementation,Global Alliance for Genomics and Health
598,Jayaraj,CalibrateSDR,AerospaceResearch.net
599,Trung Kien Dang,"A Python - Scala integrated environment with Almond, Ammonite and ScalaPy",Scala Center
600,Abhishek Zade,Compatibility for Touch Devices,CircuitVerse.org
601,Adarsh Kumar Singh,Classroom and Doubt forum feature in Mobile Application.,JBoss Community
602,Chukwuemeka Okechukwu,DIAL ODK-X New Date Prompts For ODK-X Survey Proposal,Digital Impact Alliance (DIAL) at UN Foundation
603,Hugo Flores Garcia,Source Separation and Extensible MIR Tools for Audacity,Audacity
604,Sidharth Anand,Smart Tempo in MuseScore 4,MuseScore
605,Adithya Vardhan,Channels Discovery,Rocket.Chat
606,Sushanth Rao,Writing of RBS Files,Ruby
607,Maayami,SCoRe Lab's Gitter ChatBot,SCoRe Lab
608,Farees Hussain Syed,End-to-End Testing Support,Oppia Foundation
609,Stuti Mohgaonkar,Create p5 Music examples - interactive and generative,Processing Foundation
610,Apoorva Vikram Singh,Equivariant Neural Networks for Dark Matter Morphology with Strong Gravitational Lensing,Machine Learning for Science (ML4SCI) Umbrella Organization
611,Albert Font,Electronics Monitor Board (EMB),Liquid Galaxy project
612,Ioannis Sina,Creation of a multi user audio first annotation tool,GFOSS - Open Technology Alliance
613,tpw_rules,T1220 AXIOM Beta nMigen Support,apertus° Association
614,Apurv Gupta,UX Enhancements,The Apache Software Foundation
615,Georgios Pipilis,Machine Learning Model for the Albedo of Mercury,Machine Learning for Science (ML4SCI) Umbrella Organization
616,freyam,Visualizing Performance Characteristics of Computations,NumFOCUS
617,xing-zhi jiang,autocomplete and related feature,MariaDB Foundation
618,Panos Korovesis,Make SVM format independent of the VCL Metafile + test of the format,LibreOffice
619,Arsh Sharma-1,General Improvements to User Experience in Javis,The Julia Language
620,Jayesh Nirve,Cross platform GUI for CCExtractor,CCExtractor Development
621,Chukwuebuka Ezike,Add gdb pretty printer support for Qt5,KDE Community
622,Liviu-Alexandru Bud,Add dynamic load module support for SOF,The Linux Foundation
623,Aditya Srivastav,Custom Picture Selector for upload in Commons app,Wikimedia Foundation
624,Carol Mak,Involutive Markov Chain Monte Carlo in Turing,The Julia Language
625,Raj Ranjan,Agora Blockchain,AOSSIE
626,rutvik chandla,Talawa - Mobile App,The Palisadoes Foundation
627,Piyush_Kumar,bugRzilla: Helping submitting issues to R,The R Project for Statistical Computing
628,Esteban Blanc,Implement io_uring in gVisor,gVisor
629,Eraraya Ricardo Muten,Quantum Convolutional Neural Networks for High Energy Physics Analysis at the LHC,Machine Learning for Science (ML4SCI) Umbrella Organization
630,David Romero Bascones,Population-specific tractography bundle atlas creation,INCF
631,Atharva Pusalkar,New GUI widgets in Ignition Gazebo,Open Robotics
632,David Port Louis,Implementation of Example Zoo for mlpack,mlpack
633,Emre Kurtoglu,Graph Neural Networks for Particle Momentum Estimation in the CMS Trigger System,Machine Learning for Science (ML4SCI) Umbrella Organization
634,Khyati Saini,Groundwork for platform independent app,52°North GmbH
635,Aditya Kapoor,Improvement of a Social Navigation component,RoboComp
636,Kuter Dinel,Improve inter-procedural analyses and optimizations,The LLVM Compiler Infrastructure
637,Sai Prasanth Duvvuri,Matrix Exponentials,Chapel
638,Bingchang Chen,TiKV: High-performance Data Import Tool,CNCF
639,Qi Zeng,Translate ERDDAP User Interface Into Different Languages,Integrated Ocean Observing System (IOOS)
640,Kelvin Kipkorir,Container-based backend for openQA,openSUSE Project
641,Georgios Kosmas,hashesdb (Georgios Kosmas),GFOSS - Open Technology Alliance
642,ricardoV94,[PyMC3] Make SMC-ABC faster and more flexible,NumFOCUS
643,Huaxi Jiang,Enhance verification for APISIX ingress controller,The Apache Software Foundation
644,Delton,The Next Step of Ruby 3 Fiber Scheduler,Ruby
645,Chandan,Migrating industrial robot manipulation exercises to web server,JdeRobot - Universidad Rey Juan Carlos
646,Jeffrey Cochran,Improvements to Godot Soft-body Dynamics,Godot Engine
647,Jayasanka Weerasinghe,E2E Automated Tests for the OpenMRS 3.0 RefApp,OpenMRS
648,Vineet Sharma,Modernizing Administrative functions for OpenMRS: Clinical Data Management,OpenMRS
649,Saurabh,OpenMRS Android Client 3.0.x,OpenMRS
650,Huzi Cheng,A Full-featured Web Dashboard  for Optuna to Monitor Optimization History,NumFOCUS
651,Fatih ATES,CNCF - CNB - Jenkins Plugins,CNCF
652,Mahmoud Mandour,TCG Plugin: Cache Modelling,QEMU
653,Leonardo Coelho Ruas,Liquid Galaxy Retro Gaming,Liquid Galaxy project
654,Purushottam Tiwari,"Improve stream management, message viewing and left sidebar",Zulip
655,Kushal Kumar,CiceroMark<->OOXML,Accord Project
656,Mridul,Improving Front-End Typed System,Oppia Foundation
657,Mustafa Dhar,3D Viewer Integration,Cuneiform Digital Library Initiative (CDLI)
658,Abdullah Deshmukh,Flutter Desktop Tool,Dart
659,Shiv Charan Sharma,Automate Reinforcement Process of Slab and Footing in FreeCAD,BRL-CAD
660,Angad Kambli,Add pseudo-localization to better spot untranslated strings and unexpected layout changes caused by long strings,Godot Engine
661,krishna11,Cloning and compatibility improvements for Snare,The Honeynet Project
662,Akihiro Kiuchi,Jenkins Remoting Monitoring,Continuous Delivery Foundation
663,Ninad Bhat,Extending the AiiDA REST API towards workflow management,NumFOCUS
664,Elias Little,What You See Is What You Rest Security,The Julia Language
665,Frinksy,Extend Ruma's API coverage,Matrix.org
666,Chandan Prakash,Music Blocks Debugging Aids,Sugar Labs
667,Ashutosh Bharambe,Adding Integro Differential Equations and Improving symbolic representation of geometry in PINNs,NumFOCUS
668,Kushagra Gupta 99,Critical efficiency improvements of mcmcse,The R Project for Statistical Computing
669,Prathamesh Tagore,Boost.Gil : 2D convolution and correlation,Boost C++ Libraries
670,Anurag Akella,Implementing an application for visualizing the LHCb DAQ network,CERN-HSF
671,Khushal Agarwal,Automatically generate docs from the components,React Native Elements
672,Arthur Cohen,Cargo tool for Rust-GCC,GNU Compiler Collection (GCC)
673,Sarthak Khattar,IntelOwl Improvements,The Honeynet Project
674,Goutam Verma,SimpleCMS E.S.,Liquid Galaxy project
675,Suyog Garg,Add a CDS-ASCII writer to astropy,openastronomy
676,Yang Yang,Push the URL relationship editor to the next level,MetaBrainz Foundation Inc
677,Dhruva Gole,Bela support for the BeagleBone AI and/or future TI boards,BeagleBoard.org Foundation
678,Divyansh Jain,GSOC proposal for Nettacker,OWASP Foundation
679,Edward HUI,Spectral Selection Tools,Audacity
680,Ke Zhang,Proposal for Apache SkyWalking: Python agent supports profiling,The Apache Software Foundation
681,Anastasiy Belyaev,C++ connector enhancement,Tarantool
682,Kodjo Laurent Egbakou,Added new features to  LibVLCSharp and fixed bugs,VideoLAN
683,Shruti Agarwal,Migration of UI into React.js,FOSSology
684,Hwarim Hyun,Implementing Work Stealing on Nemo,The Apache Software Foundation
685,Abhinav Anand,Improvisation and Implementation of ANN Modules,mlpack
686,Vishal Sharma,Sample/Skeleton Plugins in GOI Supported Languages,Xfce
687,Shreyan Ganguly,Machine detection of film edits,Red Hen Lab
688,Alejandro Domínguez,Fractal: Multi account support,GNOME Foundation
689,ketangupta34,Java Loader using Java Native Interface,MetaCall
690,BHARAT BIRADAR,SPDX license detection package,Dart
691,Yash Kumar Verma,RBAC Authorization with Cache Implementation using higher order functions,caMicroscope
692,Shrey Sachdeva,Development of a user interface to visualise VEP data using neXtProt tools,Open Bioinformatics Foundation
693,Purva Chaudhari,End-to-End Deep Learning Reconstruction for CMS Experiment,Machine Learning for Science (ML4SCI) Umbrella Organization
694,Guang Zhang,"Update DBpedia Sparql for newly updated wiki resources and specifically related to pandemic, healthcare, and heath AI fields",DBpedia
695,Sahaja Belaganti,Upgrade OAM implementation in Crossplane to latest release of spec,CNCF
696,Nishal Kulkarni,Implement active resource management in GNOME,GNOME Foundation
697,Vedant Shah,Extending Deepbots to evolutionary algortihms,GFOSS - Open Technology Alliance
698,Tanishq Gupta,gtfBase- A curated resource of multispecies genomic regions,Open Bioinformatics Foundation
699,SeifEldeen Emad,Image Sensor Simulation/Emulation,apertus° Association
700,Gerardo Duran-Martin,TensorFlow Proposal for the Convert Matlab ML examples to Python / JAX project,TensorFlow
701,Jakub Duchniewicz,GPGPU with GLES API,BeagleBoard.org Foundation
